creator_id,tier,niche,followers,likes,comments,shares,saves,reach,impressions,engagement_rate,comment_ratio,share_ratio,save_ratio,audience_quality,posting_consistency,posts_per_week,growth_rate,authenticity_score,growth_score,fake_account
528,Nano,Travel,3865,434,1,1,5,4723,9529,9.11,0.0032,0.0025,0.0111,36.53,40.41,11,6.72,20.62,33.59,1
529,Macro,Lifestyle,9789784,218475,1153,1773,773,12325716,24656903,2.1,0.0053,0.0081,0.0035,11.29,46.01,13,0.0,10.72,0.0,1
530,Nano,Travel,6692,910,51,31,82,7054,16679,10.62,0.0556,0.0345,0.0905,85.43,46.87,8,8.71,80.87,43.57,0
531,Micro,Tech,37746,2804,226,214,107,27747,62360,7.49,0.0805,0.0763,0.0382,83.89,74.32,14,5.73,100.0,28.63,0
532,Mid,Finance,402865,11244,369,289,344,392913,506735,2.27,0.0328,0.0257,0.0306,81.9,57.29,5,4.66,65.07,23.31,0
533,Nano,Food,2291,67,5,2,3,3050,6665,4.62,0.0787,0.0272,0.0508,66.74,59.82,13,6.57,80.87,32.86,0
534,Nano,Fitness,5997,185,0,1,1,6076,13301,4.93,0.0015,0.0037,0.004,25.09,53.2,5,1.8,14.43,9.0,1
535,Mid,Tech,783019,47052,4061,1402,2467,1029950,1461230,4.21,0.0863,0.0298,0.0524,84.43,98.72,9,5.85,94.3,29.24,0
536,Micro,Fashion,89027,3149,295,82,108,63170,102746,4.7,0.0936,0.0261,0.0344,66.21,46.66,8,4.77,87.76,23.83,0
537,Nano,Fashion,3956,500,43,32,24,4529,11301,9.8,0.0862,0.063,0.0484,83.39,42.44,8,7.35,100.0,36.76,0
538,Nano,Lifestyle,6492,444,2,4,1,14074,25941,6.2,0.0053,0.0083,0.0022,11.39,35.99,13,3.6,10.86,18.02,1
539,Micro,Education,68031,3189,291,127,264,151378,268493,3.18,0.0911,0.0398,0.0829,69.9,41.59,10,5.66,92.46,28.28,0
540,Micro,Education,27939,2285,73,159,231,32584,69120,7.15,0.032,0.0697,0.1009,88.57,90.49,5,8.68,81.19,43.41,0
541,Nano,Finance,1661,149,13,11,17,2303,2999,7.89,0.0902,0.0767,0.1137,89.68,76.99,10,8.13,100.0,40.66,0
542,Nano,Music,5477,526,48,25,51,9941,22307,6.85,0.0905,0.0479,0.097,53.25,89.52,13,8.76,86.24,43.79,0
543,Micro,Fitness,93203,7214,453,563,705,201327,250184,11.39,0.0627,0.0781,0.0978,89.25,89.29,7,9.7,99.42,48.49,0
544,Macro,Fitness,4764040,83231,3421,5723,3490,5336264,9548614,3.17,0.0411,0.0688,0.0419,65.86,56.92,5,3.61,74.11,18.03,0
545,Micro,Fitness,75883,4618,379,253,300,76442,114272,6.78,0.082,0.0548,0.0649,55.65,49.38,3,5.18,85.3,25.9,0
546,Nano,Fitness,6591,869,32,49,33,15994,34073,12.04,0.0363,0.0564,0.0381,74.58,98.53,9,8.55,72.35,42.75,0
547,Nano,Education,8843,1334,6,11,23,12938,16644,11.21,0.0042,0.0085,0.0172,24.68,35.85,12,4.93,16.99,24.64,1
548,Macro,Tech,15873306,167303,880,1117,3053,23085469,51210772,1.2,0.0053,0.0067,0.0182,22.73,28.3,8,0.0,16.0,0.0,1
549,Nano,Fitness,1588,127,8,4,8,3192,6607,8.0,0.0594,0.0315,0.06,85.64,42.78,14,4.55,81.97,22.74,0
550,Micro,Education,37360,3107,252,233,348,75845,110519,7.32,0.0811,0.0751,0.1121,62.1,56.71,8,6.94,94.15,34.7,0
551,Macro,Education,8945223,233108,15481,8787,7313,9806045,15361346,2.78,0.0664,0.0377,0.0314,90.18,99.74,12,8.22,89.6,41.11,0
552,Micro,Travel,13065,495,20,33,16,31116,40836,7.08,0.0396,0.0658,0.0316,55.52,65.17,13,8.22,67.3,41.08,0
553,Nano,Fitness,4495,488,2,2,3,11013,15411,13.29,0.0048,0.0038,0.0063,49.77,47.78,11,7.75,28.43,38.74,1
554,Nano,Finance,4196,360,35,27,26,9328,16679,11.42,0.0969,0.0754,0.0712,85.63,81.28,14,9.95,100.0,49.73,0
555,Mid,Lifestyle,686373,21919,2053,462,1756,1453208,2766525,2.81,0.0937,0.0211,0.0801,72.21,86.88,12,7.47,89.26,37.35,0
556,Micro,Education,65781,3961,145,297,151,122798,213320,6.78,0.0367,0.0749,0.0382,75.68,88.18,14,7.51,78.65,37.53,0
557,Macro,Tech,3203087,34939,3205,1716,2753,7540928,17871113,0.94,0.0917,0.0491,0.0788,91.41,50.23,11,2.72,100.0,13.61,0
558,Nano,Fashion,7125,669,28,26,26,5227,11739,13.12,0.0411,0.0388,0.0395,66.44,79.56,7,9.3,65.4,46.5,0
559,Mid,Finance,545544,45374,267,262,345,893021,1832478,6.71,0.0059,0.0058,0.0076,10.38,40.14,10,6.68,9.86,33.38,1
560,Mid,Travel,110567,5566,522,443,220,123779,301464,5.48,0.0938,0.0796,0.0395,62.49,78.42,12,6.39,100.0,31.96,0
561,Mid,Fashion,127676,4278,378,291,261,149036,262250,2.95,0.0884,0.068,0.0611,92.23,74.94,6,4.55,100.0,22.73,0
562,Nano,Finance,6247,977,8,5,6,7353,13949,14.16,0.0084,0.0048,0.0062,42.01,42.85,2,9.24,26.68,46.2,1
563,Nano,Lifestyle,2734,270,15,13,21,2915,4089,9.11,0.056,0.0469,0.0783,59.85,64.77,13,8.07,72.01,40.37,0
564,Nano,Education,1948,95,0,0,1,3278,4079,9.27,0.0016,0.003,0.0107,10.52,28.59,7,4.86,6.94,24.29,1
565,Nano,Fitness,6604,580,25,26,52,7759,9432,12.15,0.0432,0.0457,0.0892,79.27,58.94,10,7.32,74.92,36.62,0
566,Nano,Travel,1107,119,7,9,13,1822,3824,9.21,0.0599,0.0733,0.1061,86.18,88.36,5,5.42,95.02,27.1,0
567,Mid,Fashion,842691,44539,3412,1462,3971,1234055,1726259,4.7,0.0766,0.0328,0.0892,86.33,96.56,10,6.92,91.31,34.59,0
568,Nano,Education,8963,460,37,10,39,18546,33846,7.0,0.0814,0.0218,0.0856,64.38,49.62,9,3.78,79.44,18.9,0
569,Nano,Travel,6633,637,52,29,61,5999,13485,10.85,0.0818,0.0451,0.0963,91.6,61.68,9,9.74,100.0,48.72,0
570,Nano,Fitness,2620,202,1,1,1,3148,6935,7.46,0.0073,0.0041,0.0031,43.86,44.52,10,3.4,26.82,17.0,1
571,Mid,Finance,896787,14234,767,1109,1079,1640762,2729084,2.59,0.0539,0.0779,0.0758,50.81,47.02,4,2.42,75.72,12.09,0
572,Micro,Finance,93456,4461,222,148,343,91551,189199,3.81,0.0497,0.0331,0.077,66.95,48.81,7,4.58,68.28,22.92,0
573,Micro,Fitness,58282,1860,87,107,106,142350,300904,3.33,0.0466,0.0576,0.0571,54.32,85.57,6,7.04,67.74,35.21,0
574,Nano,Fashion,7341,1575,52,79,130,17298,21863,14.86,0.0329,0.0502,0.0826,70.54,83.22,4,8.56,66.79,42.8,0
575,Nano,Tech,1124,77,7,4,3,2182,3986,12.6,0.0944,0.0482,0.0326,96.66,79.43,14,9.03,100.0,45.15,0
576,Micro,Fashion,80375,9678,381,584,294,190036,255838,8.5,0.0394,0.0603,0.0304,78.28,78.94,11,8.47,76.92,42.34,0
577,Mid,Fitness,679886,26614,28,41,243,964613,1389167,4.57,0.0011,0.0015,0.0091,47.53,65.71,14,4.81,24.76,24.03,1
578,Nano,Fitness,9040,917,76,52,79,16710,33709,7.92,0.0829,0.0564,0.0864,97.17,61.91,9,7.93,100.0,39.67,0
579,Nano,Music,5861,631,5,4,7,11714,14147,7.91,0.0086,0.0069,0.0105,34.15,56.75,14,5.81,23.42,29.03,1
580,Nano,Gaming,7021,778,49,34,84,16659,26562,13.63,0.0624,0.0434,0.1077,54.4,93.61,7,10.27,71.4,51.35,0
581,Nano,Food,7227,575,52,33,61,8501,15942,6.95,0.0896,0.0566,0.1068,78.24,60.35,9,7.52,100.0,37.59,0
582,Mid,Food,823056,50057,2882,1798,2260,1604072,3270732,5.49,0.0576,0.0359,0.0451,71.28,72.97,13,6.72,75.2,33.6,0
583,Micro,Music,85948,8304,735,509,632,131121,266833,8.04,0.0885,0.0613,0.0761,72.78,76.71,13,10.78,99.03,53.9,0
584,Nano,Tech,7764,1158,8,5,8,13516,24971,15.93,0.0067,0.0041,0.0067,46.54,46.27,7,10.61,27.83,53.03,1
585,Mid,Music,157207,8217,591,309,752,334951,451084,4.68,0.0719,0.0376,0.0916,95.72,45.41,4,6.37,95.08,31.84,0
586,Nano,Food,3243,381,12,20,25,5639,11916,11.07,0.0315,0.0512,0.0653,52.07,56.89,12,4.8,57.17,24.0,0
587,Nano,Travel,8069,699,42,56,79,10118,13609,8.52,0.0603,0.0795,0.1135,70.85,79.83,6,9.01,89.41,45.07,0
588,Macro,Food,18751903,405758,17229,28192,22256,44529394,74543629,1.75,0.0425,0.0695,0.0549,97.21,88.71,2,3.62,90.68,18.09,0
589,Nano,Travel,3460,185,18,12,18,7371,16011,9.83,0.0953,0.0623,0.0971,91.8,83.11,10,10.31,100.0,51.53,0
590,Mid,Education,320511,6831,622,255,258,764681,1293577,2.1,0.091,0.0373,0.0378,53.55,69.27,8,6.63,83.5,33.17,0
591,Micro,Lifestyle,58478,3392,219,122,317,125434,189478,6.22,0.0645,0.0359,0.0934,67.55,95.83,1,8.92,76.81,44.59,0
592,Micro,Gaming,25290,5377,432,296,495,60453,92191,15.26,0.0803,0.0551,0.092,71.41,92.81,4,14.06,92.4,70.32,0
593,Micro,Lifestyle,21158,1439,105,64,69,51434,95920,6.93,0.0732,0.0443,0.0479,77.61,79.66,8,5.82,88.7,29.08,0
594,Micro,Gaming,68596,6832,353,406,334,87313,132025,8.73,0.0517,0.0594,0.0489,59.27,78.06,2,10.39,73.31,51.95,0
595,Mid,Education,980077,42188,1656,1517,2930,739495,1628247,5.07,0.0392,0.036,0.0695,74.83,56.62,1,4.69,67.82,23.46,0
596,Nano,Finance,1306,224,18,14,7,3157,7129,14.28,0.0805,0.0637,0.03,70.39,46.84,4,8.26,94.54,41.31,0
597,Nano,Music,8859,1879,12,18,18,15758,28667,18.0,0.0061,0.0095,0.0094,13.73,56.94,3,7.6,12.79,38.02,1
598,Micro,Travel,88933,3931,16,23,72,197769,270103,8.45,0.004,0.0058,0.0183,47.68,23.22,14,5.02,27.57,25.1,1
599,Micro,Education,49107,2695,9,6,8,101329,151040,5.79,0.0033,0.0021,0.0029,28.06,45.07,3,3.35,16.31,16.73,1
600,Nano,Fashion,8050,478,22,22,22,9527,18051,9.3,0.0466,0.0469,0.047,50.74,90.46,11,10.01,62.73,50.04,0
601,Nano,Finance,8803,624,52,29,37,8993,19739,9.39,0.0841,0.0461,0.0598,67.85,99.37,3,7.2,89.78,35.99,0
602,Nano,Education,6645,385,19,20,12,5606,9773,6.92,0.0503,0.0525,0.0321,83.19,62.87,6,5.69,82.49,28.46,0
603,Mid,Lifestyle,730077,19679,161,191,194,1264914,2249329,2.39,0.0082,0.0097,0.0099,35.75,50.47,6,3.14,24.87,15.68,1
604,Micro,Education,41770,1448,79,52,89,82495,138443,5.21,0.0546,0.0359,0.0615,56.95,55.14,4,4.75,66.54,23.76,0
605,Micro,Fitness,38906,4128,41,21,10,95680,219745,10.62,0.0099,0.0052,0.0024,24.23,32.49,2,7.54,18.62,37.7,1
606,Micro,Music,38783,4795,259,296,525,60106,102047,10.34,0.0541,0.0616,0.1096,86.1,50.45,11,7.4,88.58,37.01,0
607,Micro,Travel,60304,2872,5,23,48,59868,138335,6.79,0.0017,0.0081,0.0169,14.5,37.39,1,4.07,10.53,20.36,1
608,Micro,Finance,42596,1685,11,15,4,89467,164704,4.19,0.0067,0.0088,0.0025,42.36,32.27,12,3.75,27.16,18.77,1
609,Micro,Tech,77546,8468,282,616,873,147077,241334,9.8,0.0333,0.0727,0.1031,58.91,99.19,5,9.83,67.93,49.17,0
610,Nano,Travel,9440,1107,77,42,50,13527,20316,14.76,0.0692,0.0381,0.045,74.42,41.35,5,8.01,83.22,40.06,0
611,Nano,Music,2878,376,28,25,16,6336,7670,9.35,0.0749,0.0662,0.0427,52.63,43.56,8,9.94,83.63,49.7,0
612,Micro,Fashion,67757,1969,14,7,13,83573,179117,4.22,0.0073,0.0036,0.0067,27.3,61.43,12,6.31,18.39,31.54,1
613,Nano,Travel,1815,98,10,6,6,2312,4122,9.9,0.0979,0.063,0.0591,61.88,62.79,8,6.96,98.8,34.81,0
614,Nano,Fashion,8433,849,52,40,45,16765,35844,10.62,0.0613,0.0475,0.0533,99.51,44.55,5,6.0,94.62,29.99,0
615,Micro,Fashion,27942,2639,260,192,146,24889,33498,7.18,0.0985,0.0728,0.0552,94.2,52.42,8,6.62,100.0,33.1,0
616,Nano,Fashion,2773,129,10,6,10,4076,9957,6.86,0.0753,0.0479,0.0746,75.07,42.6,5,6.69,89.54,33.47,0
617,Micro,Fitness,73226,5765,238,304,449,61259,129114,9.99,0.0412,0.0527,0.0779,73.18,45.31,1,6.5,73.0,32.48,0
618,Micro,Tech,82144,2237,139,164,86,203715,495800,4.74,0.0622,0.0734,0.0385,80.52,96.35,7,6.05,93.42,30.23,0
619,Macro,Fitness,17138732,236383,10181,9634,14494,26467491,43257868,1.26,0.0431,0.0408,0.0613,81.71,86.47,5,6.46,74.62,32.32,0
620,Nano,Gaming,7618,1517,139,107,125,8744,18010,15.48,0.0917,0.0703,0.0824,82.13,56.51,11,10.29,100.0,51.46,0
621,Nano,Tech,9992,381,13,16,23,19907,43112,6.79,0.0336,0.0428,0.0604,91.24,64.13,10,4.82,75.26,24.08,0
622,Nano,Travel,9140,1865,114,62,178,18044,25248,17.59,0.0612,0.0335,0.0954,75.54,67.3,14,9.83,78.42,49.16,0
623,Micro,Music,37453,1136,100,24,59,36503,84575,3.53,0.0879,0.0214,0.0519,89.4,53.67,13,6.26,95.08,31.31,0
624,Nano,Travel,9097,1094,103,47,88,19516,34256,12.39,0.0942,0.0432,0.0806,96.07,65.38,1,9.45,100.0,47.24,0
625,Nano,Fashion,6095,497,47,28,51,12952,18795,6.27,0.0943,0.0562,0.1023,64.74,94.8,8,6.08,96.36,30.41,0
626,Nano,Fitness,9566,2066,11,15,38,13125,31143,14.85,0.0053,0.0073,0.0185,22.72,46.6,7,7.43,16.2,37.16,1
627,Micro,Music,27443,1425,82,78,109,53082,108521,4.81,0.0575,0.0547,0.0764,55.9,43.38,6,7.06,73.1,35.28,0
628,Mid,Tech,733245,40289,2771,1895,2244,906640,1539504,4.16,0.0688,0.047,0.0557,75.42,41.44,10,2.43,86.21,12.14,0
629,Nano,Gaming,9738,712,41,23,34,15692,32538,11.89,0.0581,0.0324,0.048,60.35,94.01,11,7.84,68.92,39.22,0
630,Nano,Gaming,3057,295,9,19,11,5602,12497,9.85,0.0312,0.064,0.0366,82.38,65.31,13,7.64,76.01,38.22,0
631,Micro,Education,36673,1488,58,42,145,56674,125692,5.91,0.0388,0.0283,0.0973,98.31,89.26,6,10.46,77.04,52.3,0
632,Micro,Education,71768,4395,239,265,386,170509,391120,5.28,0.0544,0.0602,0.0878,72.87,71.06,2,5.65,81.72,28.26,0
633,Nano,Finance,6346,660,46,50,29,15532,37770,14.91,0.0703,0.0755,0.0432,63.47,54.56,2,11.13,89.54,55.65,0
634,Nano,Education,6011,483,30,25,58,8526,17052,6.21,0.0625,0.0523,0.1196,66.94,50.54,1,5.28,80.42,26.39,0
635,Mid,Music,461273,16685,524,587,1278,335313,517694,3.61,0.0314,0.0352,0.0766,88.42,45.35,14,6.5,70.46,32.51,0
636,Mid,Tech,306084,9347,561,358,496,541386,660739,3.79,0.06,0.0383,0.0531,88.81,98.29,9,7.73,85.91,38.65,0
637,Nano,Lifestyle,1721,100,1,1,2,2677,6674,7.53,0.0068,0.0075,0.0174,40.6,21.11,13,4.68,25.96,23.4,1
638,Micro,Gaming,86815,4836,150,355,252,174798,394052,9.0,0.031,0.0734,0.052,94.77,49.75,3,10.12,84.93,50.62,0
639,Mid,Fashion,313165,10079,307,228,1122,516602,1114140,2.87,0.0305,0.0226,0.1114,89.5,88.91,14,6.41,66.77,32.06,0
640,Nano,Food,1455,200,16,4,14,1536,3661,10.53,0.0785,0.0203,0.0685,92.45,71.3,8,10.82,91.57,54.09,0
641,Mid,Finance,932441,35252,2979,2258,2880,2032809,3926311,4.12,0.0845,0.0641,0.0817,58.59,55.7,6,6.16,90.77,30.79,0
642,Mid,Education,972510,36442,259,309,65,721213,1215178,3.08,0.0071,0.0085,0.0018,38.76,56.48,3,4.57,25.48,22.84,1
643,Micro,Travel,55177,4977,6,11,76,85457,119194,10.37,0.0012,0.0021,0.0153,46.41,51.53,14,6.67,24.43,33.35,1
644,Nano,Fashion,9561,767,58,47,77,12051,23356,7.44,0.0753,0.0612,0.0999,76.09,78.22,7,7.06,94.06,35.31,0
645,Nano,Food,6270,1393,133,32,43,11853,18682,17.79,0.0957,0.0232,0.0311,73.64,80.63,8,9.94,91.64,49.68,0
646,Micro,Finance,43902,4239,352,254,216,77204,149922,7.78,0.083,0.06,0.0511,62.57,49.97,6,5.16,90.77,25.79,0
647,Mid,Fashion,895415,19449,1912,1506,689,1341203,1934173,3.83,0.0983,0.0774,0.0354,55.48,84.98,3,3.48,100.0,17.38,0
648,Micro,Food,19638,1182,5,2,14,47252,86500,5.12,0.0039,0.0017,0.0121,34.33,31.0,6,1.67,19.64,8.37,1
649,Nano,Music,7096,371,1,2,4,16025,19898,6.28,0.0026,0.0065,0.0101,25.9,30.86,1,3.44,16.18,17.2,1
650,Mid,Education,697013,33690,2023,2627,2842,1427919,3451638,4.56,0.0601,0.078,0.0844,51.61,77.48,12,5.47,79.22,27.34,0
651,Nano,Music,9481,461,45,26,53,23009,33836,4.84,0.0983,0.057,0.1143,78.97,52.14,5,6.66,100.0,33.28,0
652,Nano,Fitness,3236,436,13,29,52,6983,12557,18.4,0.0301,0.0654,0.1187,77.91,85.85,5,9.65,73.62,48.27,0
653,Micro,Gaming,43043,4650,376,127,394,84581,151281,10.42,0.0809,0.0273,0.0848,59.39,89.27,6,9.16,78.35,45.81,0
654,Mid,Fashion,285846,16711,1242,914,891,667703,819621,5.71,0.0743,0.0547,0.0533,54.34,60.22,12,6.55,80.73,32.76,0
655,Micro,Travel,71710,5288,241,157,336,159528,363130,10.14,0.0455,0.0297,0.0635,85.81,65.0,1,6.22,74.55,31.11,0
656,Nano,Tech,7627,393,21,21,36,14033,25277,5.25,0.0539,0.0525,0.0908,74.44,64.48,13,5.42,79.91,27.12,0
657,Nano,Music,7998,279,23,6,15,18421,39312,5.88,0.0828,0.0212,0.0524,58.58,46.15,13,5.8,77.06,28.98,0
658,Nano,Gaming,8195,357,14,21,29,13900,17256,8.46,0.0383,0.0589,0.081,81.2,67.62,6,7.53,77.46,37.64,0
659,Mid,Tech,556388,22825,2105,785,1260,442672,989042,4.6,0.0922,0.0344,0.0552,89.2,71.16,5,5.54,100.0,27.68,0
660,Micro,Tech,85976,3895,28,18,37,195390,351777,8.49,0.0071,0.0046,0.0095,43.12,40.58,3,3.89,26.49,19.44,1
661,Nano,Finance,2484,219,17,11,14,3420,6949,7.19,0.0776,0.0482,0.0649,88.13,65.65,4,7.43,97.31,37.16,0
662,Nano,Gaming,9559,1740,5,5,19,9652,15416,14.41,0.0028,0.0031,0.0109,19.08,66.46,10,7.97,11.88,39.86,1
663,Micro,Food,20995,1332,124,98,157,41158,76266,5.37,0.0928,0.0734,0.1179,73.9,70.31,4,5.15,100.0,25.76,0
664,Micro,Education,38004,2567,124,130,153,85468,155200,9.74,0.0483,0.0508,0.0598,77.28,82.41,6,8.82,78.03,44.1,0
665,Macro,Fitness,15160636,292273,23625,14788,12182,31080977,41306543,2.3,0.0808,0.0506,0.0417,68.25,56.42,9,5.65,89.72,28.26,0
666,Nano,Food,2301,250,22,6,18,3259,5225,7.54,0.0876,0.0225,0.0724,84.08,80.81,14,7.74,92.6,38.7,0
667,Mid,Fashion,118394,3123,226,212,258,295350,529453,4.81,0.0723,0.068,0.0826,74.84,42.47,10,5.18,93.96,25.92,0
668,Nano,Food,9861,1254,123,91,78,7710,17728,12.92,0.0985,0.0724,0.0623,50.36,59.0,11,7.04,96.15,35.21,0
669,Mid,Lifestyle,186978,8508,440,669,471,451773,573575,3.23,0.0517,0.0786,0.0553,86.21,94.48,8,6.55,92.51,32.74,0
670,Micro,Food,72708,7081,695,167,730,90248,172912,7.57,0.0982,0.0236,0.1031,90.03,55.23,2,8.38,100.0,41.92,0
671,Micro,Gaming,35465,4038,202,178,390,86652,155291,8.89,0.0501,0.0441,0.0966,57.35,95.02,4,7.92,66.96,39.58,0
672,Micro,Gaming,34647,3238,169,186,287,72236,101399,9.63,0.0522,0.0574,0.0887,60.06,57.08,7,8.68,73.35,43.42,0
673,Mid,Finance,349975,7436,48,48,59,814760,1510726,2.45,0.0064,0.0065,0.0079,10.09,39.01,12,2.45,10.19,12.26,1
674,Nano,Finance,2180,169,16,5,7,5354,12469,5.7,0.0925,0.0316,0.0417,89.43,82.48,7,7.65,100.0,38.24,0
675,Mid,Fashion,885608,67822,4421,3358,3083,1064222,1496837,6.67,0.0652,0.0495,0.0455,52.56,84.73,11,5.01,73.73,25.04,0
676,Mid,Education,157941,1971,189,137,183,133937,233552,1.58,0.0957,0.0695,0.0928,89.69,87.11,11,8.4,100.0,42.02,0
677,Micro,Tech,83062,5481,489,233,311,191126,477657,5.29,0.0893,0.0426,0.0567,60.26,57.57,14,6.99,87.55,34.97,0
678,Nano,Lifestyle,4991,694,68,25,66,7036,14636,10.27,0.0981,0.036,0.0944,67.22,81.62,9,8.48,93.46,42.41,0
679,Nano,Finance,6265,455,2,1,5,10081,18981,9.66,0.0043,0.0012,0.011,46.12,60.72,9,7.09,25.58,35.46,1
680,Micro,Fitness,26375,2606,203,85,186,61681,100217,7.37,0.0778,0.0325,0.0716,52.6,66.16,3,5.96,74.95,29.82,0
681,Micro,Food,85922,4363,417,252,257,98266,119069,9.96,0.0956,0.0577,0.059,62.24,42.97,4,9.5,96.22,47.52,0
682,Nano,Travel,3303,384,20,26,26,5005,9344,9.37,0.0523,0.0678,0.0689,51.75,42.24,8,7.69,72.34,38.46,0
683,Nano,Music,8960,1399,64,107,117,22273,29322,11.47,0.0457,0.0765,0.0839,66.51,59.34,5,10.55,79.03,52.73,0
684,Micro,Fashion,99690,7637,655,307,231,241971,476624,9.55,0.0857,0.0401,0.0303,78.7,91.21,12,8.2,94.24,40.98,0
685,Nano,Fitness,8370,947,48,28,66,11914,23214,8.28,0.0508,0.0296,0.0692,95.27,64.57,11,7.21,81.88,36.07,0
686,Nano,Gaming,1800,84,7,6,6,4268,8398,8.49,0.0794,0.071,0.0691,97.91,45.46,2,8.01,100.0,40.05,0
687,Nano,Education,4322,433,22,13,28,9983,12108,7.39,0.0501,0.031,0.0641,63.58,66.96,4,3.89,66.15,19.44,0
688,Nano,Food,5962,838,26,34,39,11472,14613,14.12,0.0313,0.0401,0.0465,78.15,75.62,8,10.76,66.73,53.8,0
689,Nano,Fitness,9689,2411,19,21,27,19895,27497,18.15,0.0077,0.0088,0.0112,26.15,30.39,5,10.9,19.59,54.5,1
690,Nano,Finance,1831,429,32,30,33,1968,3705,16.02,0.0758,0.0703,0.0773,64.54,76.89,14,11.26,91.23,56.28,0
691,Micro,Fashion,37086,2838,237,85,192,58340,89446,6.29,0.0835,0.0301,0.0678,92.38,81.62,10,8.09,96.97,40.43,0
692,Nano,Lifestyle,8867,1148,76,72,78,16605,25518,10.52,0.0659,0.0627,0.068,86.53,89.95,6,11.25,95.02,56.26,0
693,Micro,Music,63270,3730,340,212,175,76778,139637,4.64,0.0913,0.0568,0.0469,60.23,50.89,11,3.78,92.8,18.89,0
694,Mid,Education,136719,2616,253,83,286,294910,724953,3.37,0.0969,0.0316,0.1094,89.93,54.6,12,5.1,100.0,25.51,0
695,Micro,Lifestyle,98941,3555,314,141,339,85983,176884,4.13,0.0883,0.0396,0.0955,52.49,55.82,7,5.31,82.27,26.54,0
696,Mid,Music,539705,14739,967,1080,1362,761163,1281959,3.74,0.0656,0.0733,0.0924,50.56,54.54,8,4.45,80.07,22.26,0
697,Micro,Music,55344,6914,441,463,298,87761,150258,9.21,0.0637,0.067,0.0431,80.19,48.72,11,6.49,92.07,32.46,0
698,Micro,Travel,45548,2387,15,14,32,44516,90834,5.66,0.0065,0.006,0.0134,44.71,42.55,5,5.96,27.39,29.81,1
699,Nano,Education,2620,174,1,0,3,2894,7234,8.76,0.0068,0.0021,0.019,49.07,56.99,6,6.2,28.56,30.98,1
700,Micro,Lifestyle,95180,6013,462,349,306,220386,511655,7.34,0.0769,0.058,0.0509,65.61,68.91,13,7.79,88.62,38.97,0
701,Mid,Education,396508,10501,876,271,647,875106,1126118,3.12,0.0835,0.0258,0.0616,58.67,60.45,10,7.39,78.81,36.94,0
702,Nano,Travel,8410,532,25,41,46,8247,17640,8.37,0.0478,0.0769,0.0872,88.83,59.27,4,9.34,91.41,46.69,0
703,Micro,Tech,78099,2127,91,56,249,82736,105723,3.23,0.0429,0.0264,0.1172,90.83,79.31,5,6.47,74.78,32.33,0
704,Macro,Education,11485460,213442,1856,1342,3819,27428300,34826177,2.96,0.0087,0.0063,0.0179,28.85,63.43,2,1.42,20.66,7.08,1
705,Micro,Fashion,26772,1127,82,87,68,23952,44513,3.2,0.0724,0.077,0.0606,77.84,82.52,12,5.34,98.23,26.71,0
706,Nano,Gaming,8245,1699,87,80,134,7259,17507,14.61,0.0513,0.047,0.0789,81.11,75.11,3,11.31,80.29,56.57,0
707,Micro,Education,30773,1950,94,60,180,68224,124578,5.15,0.048,0.0305,0.0922,87.8,78.69,12,6.44,77.04,32.21,0
708,Nano,Lifestyle,8895,958,57,68,49,6318,12931,11.06,0.059,0.0705,0.0507,82.81,76.53,8,8.74,92.07,43.69,0
709,Nano,Gaming,8282,860,67,18,63,11976,16032,7.06,0.0775,0.0206,0.0733,54.07,78.58,7,9.36,71.97,46.81,0
710,Mid,Finance,519260,11558,507,249,368,945140,1947157,1.58,0.0439,0.0215,0.0318,88.76,65.98,11,2.63,72.78,13.15,0
711,Macro,Gaming,16274672,671814,45874,20980,22127,39099836,93975003,5.43,0.0683,0.0312,0.0329,95.29,98.9,5,8.75,91.16,43.77,0
712,Mid,Fashion,592049,13440,946,799,639,830817,2019329,3.49,0.0704,0.0594,0.0475,67.7,93.49,3,8.92,86.87,44.6,0
713,Nano,Education,7563,674,5,4,5,10743,22526,11.83,0.0078,0.0061,0.0067,45.35,35.85,8,7.75,28.41,38.73,1
714,Micro,Tech,90730,7905,730,437,890,152766,283801,8.56,0.0924,0.0553,0.1126,91.78,85.3,11,9.93,100.0,49.67,0
715,Mid,Finance,670986,42089,219,368,459,703365,1659689,7.01,0.0052,0.0087,0.0109,13.68,32.03,13,4.28,12.06,21.4,1
716,Nano,Finance,5467,367,11,13,11,7918,16998,5.05,0.0311,0.0364,0.0302,78.32,48.96,6,6.07,65.62,30.37,0
717,Nano,Lifestyle,7106,1166,38,50,78,7108,8743,13.52,0.0328,0.0432,0.0666,96.22,82.74,13,12.43,77.47,62.15,0
718,Nano,Tech,5089,235,12,15,8,9527,14175,6.15,0.049,0.0632,0.0344,62.63,62.34,5,6.39,74.8,31.93,0
719,Nano,Fitness,1869,91,6,4,5,1750,3964,6.06,0.0672,0.0445,0.0546,95.58,62.1,12,6.85,94.73,34.27,0
720,Micro,Education,17925,1210,98,58,59,29862,73023,5.44,0.0814,0.0482,0.049,55.26,86.14,14,4.64,82.81,23.21,0
721,Mid,Tech,718173,17753,662,1196,1383,880568,1807375,2.0,0.0373,0.0674,0.0779,93.75,86.0,11,8.98,85.73,44.9,0
